,O,D,flow,O_id,D_id
156,3.60811E+11,3.60811E+11,2514,5808,5808
157,3.6085E+11,3.6085E+11,2503,6451,6451
158,3.6005E+11,3.6005E+11,2498,409,409
159,3.6085E+11,3.6085E+11,2492,6518,6518
160,3.6061E+11,3.6061E+11,2483,3407,3407
161,3.6085E+11,3.6085E+11,2479,6585,6585
162,3.6085E+11,3.6085E+11,2463,6273,6273
163,3.60811E+11,3.60811E+11,2454,5829,5829
164,3.6085E+11,3.6085E+11,2450,6535,6535
165,3.6085E+11,3.6085E+11,2439,6536,6536
166,3.60811E+11,3.60811E+11,2437,5827,5827
167,3.6061E+11,3.6061E+11,2428,3461,3461
168,3.6005E+11,3.6005E+11,2417,64,64
169,3.60471E+11,3.60471E+11,2412,2887,2887
170,3.6061E+11,3.6061E+11,2409,3813,3813
171,3.6085E+11,3.6085E+11,2404,6578,6578
172,3.60471E+11,3.60471E+11,2403,2687,2687
173,3.6085E+11,3.6085E+11,2402,6575,6575
174,3.60811E+11,3.60811E+11,2398,5809,5809
175,3.6061E+11,3.6061E+11,2375,3331,3331
176,3.60811E+11,3.60811E+11,2373,5884,5884
177,3.6005E+11,3.6005E+11,2373,381,381
178,3.6005E+11,3.6005E+11,2363,714,714
179,3.6085E+11,3.6085E+11,2353,6470,6470
180,3.6085E+11,3.6085E+11,2353,6544,6544
181,3.6047E+11,3.6047E+11,2336,2050,2050
182,3.6047E+11,3.6047E+11,2335,1220,1220
183,3.6061E+11,3.6061E+11,2319,3730,3730
184,3.6005E+11,3.6005E+11,2315,1127,1127
185,3.60811E+11,3.60811E+11,2314,5810,5807
186,3.6085E+11,3.6085E+11,2305,6388,6388
187,3.6085E+11,3.6085E+11,2301,6501,6501
188,3.6005E+11,3.6005E+11,2301,105,105
189,3.6085E+11,3.6085E+11,2297,6537,6537
190,3.6081E+11,3.6081E+11,2294,4851,4851
191,3.6081E+11,3.6081E+11,2288,4867,4867
192,3.6081E+11,3.6081E+11,2271,4797,4797
193,3.6061E+11,3.6061E+11,2254,3696,3734
194,3.6061E+11,3.6061E+11,2251,3323,3323
195,3.6005E+11,3.6005E+11,2248,227,227
196,3.6005E+11,3.6005E+11,2248,88,88
197,3.6085E+11,3.6085E+11,2248,6444,6444
198,3.6085E+11,3.6085E+11,2226,6402,6402
199,3.6061E+11,3.6061E+11,2222,3673,3673
200,3.6005E+11,3.6005E+11,2221,147,147
201,3.6085E+11,3.6085E+11,2218,6249,6249
202,3.6085E+11,3.6085E+11,2201,6401,6401
203,3.60471E+11,3.60471E+11,2200,3269,3269
204,3.60471E+11,3.60471E+11,2195,2781,2781
205,3.6085E+11,3.6085E+11,2192,6454,6454
206,3.6085E+11,3.6085E+11,2176,6533,6533
207,3.6047E+11,3.6047E+11,2168,2098,2098
208,3.6061E+11,3.6061E+11,2153,3584,3720
209,3.60471E+11,3.60471E+11,2150,2767,2767
210,3.6061E+11,3.6061E+11,2146,3463,3463
211,3.6061E+11,3.6061E+11,2142,3731,3731
212,3.6047E+11,3.6047E+11,2139,2040,2040
213,3.6081E+11,3.6081E+11,2136,4900,4900
214,3.6085E+11,3.6085E+11,2133,6409,6409
215,3.6085E+11,3.6085E+11,2123,6498,6498
216,3.6085E+11,3.6085E+11,2107,6507,6507
217,3.60471E+11,3.60471E+11,2105,2545,2545
218,3.6085E+11,3.6085E+11,2100,6433,6433
219,3.6061E+11,3.6061E+11,2090,3698,3701
220,3.6061E+11,3.6061E+11,2084,3342,3342
221,3.60471E+11,3.60471E+11,2083,3250,3250
222,3.6085E+11,3.6085E+11,2073,6502,6502
223,3.6085E+11,3.6085E+11,2072,6506,6506
224,3.6005E+11,3.6005E+11,2068,1009,1009
225,3.6085E+11,3.6085E+11,2061,6509,6509
226,3.6061E+11,3.6061E+11,2058,3697,3697
227,3.6085E+11,3.6085E+11,2056,6382,6382
228,3.6085E+11,3.6085E+11,2042,6445,6445
229,3.6005E+11,3.6005E+11,2037,713,713
230,3.6085E+11,3.6085E+11,2036,6460,6460
231,3.60811E+11,3.60811E+11,2032,5916,5916
232,3.6005E+11,3.6005E+11,2021,226,226
233,3.6085E+11,3.6085E+11,2015,6379,6379
234,3.6085E+11,3.6085E+11,2006,6582,6582
235,3.6061E+11,3.6061E+11,2004,3782,3782
236,3.60471E+11,3.60471E+11,1998,3140,3140
237,3.6085E+11,3.6085E+11,1995,6477,6477
238,3.6061E+11,3.6061E+11,1992,3688,3688
239,3.6061E+11,3.6061E+11,1988,3481,3481
240,3.6061E+11,3.6061E+11,1987,3696,3700
241,3.6085E+11,3.6085E+11,1986,6576,6576
242,3.6061E+11,3.6061E+11,1986,3619,3619
243,3.6085E+11,3.6085E+11,1973,6358,6358
244,3.6061E+11,3.6061E+11,1971,4341,4341
245,3.6005E+11,3.6005E+11,1963,408,408
246,3.60811E+11,3.60811E+11,1963,5925,5925
247,3.6047E+11,3.6047E+11,1960,1181,1181
248,3.6061E+11,3.6061E+11,1957,4486,4486
249,3.6061E+11,3.6061E+11,1951,3864,3864
250,3.6047E+11,3.6047E+11,1949,1922,1922
251,3.6085E+11,3.6085E+11,1946,6539,6539
252,3.6085E+11,3.6085E+11,1945,6525,6525
253,3.6061E+11,3.6061E+11,1945,3720,3727
254,3.6085E+11,3.6085E+11,1944,6555,6527
255,3.6061E+11,3.6061E+11,1943,3479,3479
256,3.6085E+11,3.6085E+11,1940,6406,6406
257,3.6061E+11,3.6061E+11,1940,3398,3398
258,3.6085E+11,3.6085E+11,1938,6503,6503
259,3.6061E+11,3.6061E+11,1933,3319,3330
260,3.60811E+11,3.60811E+11,1929,6035,6035
261,3.6081E+11,3.6081E+11,1922,4868,4868
262,3.6005E+11,3.6005E+11,1916,218,218
263,3.6081E+11,3.6081E+11,1916,5035,5035
264,3.6085E+11,3.6085E+11,1914,6399,6399
265,3.6047E+11,3.6047E+11,1896,1200,1200
266,3.6085E+11,3.6085E+11,1885,6443,6443
267,3.6061E+11,3.6061E+11,1883,3734,3696
268,3.6085E+11,3.6085E+11,1882,6403,6403
269,3.60811E+11,3.60811E+11,1880,5340,5340
270,3.6061E+11,3.6061E+11,1880,3698,3698
271,3.6085E+11,3.6085E+11,1879,6505,6505
272,3.6081E+11,3.6061E+11,1879,4861,3696
273,3.6047E+11,3.6047E+11,1874,1216,1216
274,3.60811E+11,3.60811E+11,1872,5568,5568
275,3.6047E+11,3.6047E+11,1872,2329,2329
276,3.6061E+11,3.6061E+11,1869,3621,3720
277,3.6061E+11,3.6061E+11,1861,3671,3671
278,3.6061E+11,3.6061E+11,1861,3694,3694
279,3.6085E+11,3.6085E+11,1861,6527,6555
280,3.60811E+11,3.60811E+11,1857,5714,5714
281,3.6085E+11,3.6085E+11,1855,6508,6508
282,3.60811E+11,3.60811E+11,1854,5629,5629
283,3.6061E+11,3.6061E+11,1852,3720,3584
284,3.60811E+11,3.60811E+11,1850,5844,5844
285,3.60811E+11,3.60811E+11,1848,5486,5486
286,3.6061E+11,3.6061E+11,1847,3636,3636
287,3.6047E+11,3.6047E+11,1845,1525,1530
288,3.6005E+11,3.6005E+11,1844,489,489
289,3.6085E+11,3.6085E+11,1832,6546,6546
290,3.6047E+11,3.6047E+11,1829,1273,1273
